Id,created_at,cleaned_text,type,aspect,deberta_sentiment,confidence
172,Fri Feb 23 20:23:42 +0000 2024,mha confirms that s porean influencers were advised on content about gaza conflict  no wonder malaysia one of the admired democracies for its secular politics is giving into islamists to brink back more aggressive sharia rule dark ages by islamistes,Fear-Mongering & Conspiracy,Islamic Identity,negative,0.9810417
172,Fri Feb 23 20:23:42 +0000 2024,mha confirms that s porean influencers were advised on content about gaza conflict  no wonder malaysia one of the admired democracies for its secular politics is giving into islamists to brink back more aggressive sharia rule dark ages by islamistes,Fear-Mongering & Conspiracy,Secularism,negative,0.9368229
172,Fri Feb 23 20:23:42 +0000 2024,mha confirms that s porean influencers were advised on content about gaza conflict  no wonder malaysia one of the admired democracies for its secular politics is giving into islamists to brink back more aggressive sharia rule dark ages by islamistes,Fear-Mongering & Conspiracy,Race,negative,0.9801892
172,Fri Feb 23 20:23:42 +0000 2024,mha confirms that s porean influencers were advised on content about gaza conflict  no wonder malaysia one of the admired democracies for its secular politics is giving into islamists to brink back more aggressive sharia rule dark ages by islamistes,Fear-Mongering & Conspiracy,National Identity,negative,0.9708411
172,Fri Feb 23 20:23:42 +0000 2024,mha confirms that s porean influencers were advised on content about gaza conflict  no wonder malaysia one of the admired democracies for its secular politics is giving into islamists to brink back more aggressive sharia rule dark ages by islamistes,Fear-Mongering & Conspiracy,Politics,negative,0.9099222
173,Sat Feb 10 02:55:13 +0000 2024,malaysians get very emotional passionate when debating religion islam has a strong intellectual tradition but many muslims seem unable to debate it rationally macam makin kurang waras maka lagi alim a product of a poor education system,Directly Hostile Terms,Islamic Identity,neutral,0.7107013
173,Sat Feb 10 02:55:13 +0000 2024,malaysians get very emotional passionate when debating religion islam has a strong intellectual tradition but many muslims seem unable to debate it rationally macam makin kurang waras maka lagi alim a product of a poor education system,Directly Hostile Terms,Race,negative,0.54302263
173,Sat Feb 10 02:55:13 +0000 2024,malaysians get very emotional passionate when debating religion islam has a strong intellectual tradition but many muslims seem unable to debate it rationally macam makin kurang waras maka lagi alim a product of a poor education system,Directly Hostile Terms,National Identity,negative,0.46969464
173,Sat Feb 10 02:55:13 +0000 2024,malaysians get very emotional passionate when debating religion islam has a strong intellectual tradition but many muslims seem unable to debate it rationally macam makin kurang waras maka lagi alim a product of a poor education system,Directly Hostile Terms,Politics,negative,0.4870839
173,Sat Feb 10 02:55:13 +0000 2024,malaysians get very emotional passionate when debating religion islam has a strong intellectual tradition but many muslims seem unable to debate it rationally macam makin kurang waras maka lagi alim a product of a poor education system,Directly Hostile Terms,Social Issues,negative,0.48240206
174,Tue Feb 20 07:31:24 +0000 2024,malaysia is not an islamic state its secular country only has islam as a federal religion kalau tak suka boleh pergi afghanistan kalau jadi islamic state sabah dan sarawak are first ones to leave the federation dont you worry,Cultural Resistance to Islamization,Islamic Identity,negative,0.8844299
174,Tue Feb 20 07:31:24 +0000 2024,malaysia is not an islamic state its secular country only has islam as a federal religion kalau tak suka boleh pergi afghanistan kalau jadi islamic state sabah dan sarawak are first ones to leave the federation dont you worry,Cultural Resistance to Islamization,Secularism,negative,0.5601357
174,Tue Feb 20 07:31:24 +0000 2024,malaysia is not an islamic state its secular country only has islam as a federal religion kalau tak suka boleh pergi afghanistan kalau jadi islamic state sabah dan sarawak are first ones to leave the federation dont you worry,Cultural Resistance to Islamization,Race,negative,0.8778283
174,Tue Feb 20 07:31:24 +0000 2024,malaysia is not an islamic state its secular country only has islam as a federal religion kalau tak suka boleh pergi afghanistan kalau jadi islamic state sabah dan sarawak are first ones to leave the federation dont you worry,Cultural Resistance to Islamization,National Identity,negative,0.88085485
175,Fri Feb 02 16:29:30 +0000 2024,most hindus believe in sarv dharm vadapav even in us you have christian extremists but no one says it is not secular in malaysia you have freedom of religion but unless you are malay muslim you are discriminated from state benefits india can follow malay model,Institutional Distrust,Islamic Identity,neutral,0.6549228
175,Fri Feb 02 16:29:30 +0000 2024,most hindus believe in sarv dharm vadapav even in us you have christian extremists but no one says it is not secular in malaysia you have freedom of religion but unless you are malay muslim you are discriminated from state benefits india can follow malay model,Institutional Distrust,Secularism,neutral,0.43961367
175,Fri Feb 02 16:29:30 +0000 2024,most hindus believe in sarv dharm vadapav even in us you have christian extremists but no one says it is not secular in malaysia you have freedom of religion but unless you are malay muslim you are discriminated from state benefits india can follow malay model,Institutional Distrust,Religious Beliefs,neutral,0.5816303
175,Fri Feb 02 16:29:30 +0000 2024,most hindus believe in sarv dharm vadapav even in us you have christian extremists but no one says it is not secular in malaysia you have freedom of religion but unless you are malay muslim you are discriminated from state benefits india can follow malay model,Institutional Distrust,Race,neutral,0.5897729
175,Fri Feb 02 16:29:30 +0000 2024,most hindus believe in sarv dharm vadapav even in us you have christian extremists but no one says it is not secular in malaysia you have freedom of religion but unless you are malay muslim you are discriminated from state benefits india can follow malay model,Institutional Distrust,National Identity,neutral,0.5357955
175,Fri Feb 02 16:29:30 +0000 2024,most hindus believe in sarv dharm vadapav even in us you have christian extremists but no one says it is not secular in malaysia you have freedom of religion but unless you are malay muslim you are discriminated from state benefits india can follow malay model,Institutional Distrust,Politics,neutral,0.57825065
175,Fri Feb 02 16:29:30 +0000 2024,most hindus believe in sarv dharm vadapav even in us you have christian extremists but no one says it is not secular in malaysia you have freedom of religion but unless you are malay muslim you are discriminated from state benefits india can follow malay model,Institutional Distrust,Violence,negative,0.58755344
176,Mon Feb 26 14:59:17 +0000 2024,uhh malaysia is a partial secular country due to the monarchy and islam now the context is that someone literally wants to take advantage to islamise or malayization the whole nation incld sands and turned it into an islamic country like middle east,Fear-Mongering & Conspiracy,Islamic Identity,negative,0.92863303
176,Mon Feb 26 14:59:17 +0000 2024,uhh malaysia is a partial secular country due to the monarchy and islam now the context is that someone literally wants to take advantage to islamise or malayization the whole nation incld sands and turned it into an islamic country like middle east,Fear-Mongering & Conspiracy,Secularism,negative,0.9246681
176,Mon Feb 26 14:59:17 +0000 2024,uhh malaysia is a partial secular country due to the monarchy and islam now the context is that someone literally wants to take advantage to islamise or malayization the whole nation incld sands and turned it into an islamic country like middle east,Fear-Mongering & Conspiracy,Race,negative,0.9568027
176,Mon Feb 26 14:59:17 +0000 2024,uhh malaysia is a partial secular country due to the monarchy and islam now the context is that someone literally wants to take advantage to islamise or malayization the whole nation incld sands and turned it into an islamic country like middle east,Fear-Mongering & Conspiracy,National Identity,negative,0.9535153
177,Fri Feb 09 12:05:44 +0000 2024,btw malaysia was a constitutionally secular nation till  when they became  moslem almost immediately declared themselves islamic republic thats why there are so many malaysian christianshindusbuddhistschinses who have emigrated to canadaaustraliamostly since then,Fear-Mongering & Conspiracy,Islamic Identity,negative,0.7577541
177,Fri Feb 09 12:05:44 +0000 2024,btw malaysia was a constitutionally secular nation till  when they became  moslem almost immediately declared themselves islamic republic thats why there are so many malaysian christianshindusbuddhistschinses who have emigrated to canadaaustraliamostly since then,Fear-Mongering & Conspiracy,Secularism,negative,0.70807153
177,Fri Feb 09 12:05:44 +0000 2024,btw malaysia was a constitutionally secular nation till  when they became  moslem almost immediately declared themselves islamic republic thats why there are so many malaysian christianshindusbuddhistschinses who have emigrated to canadaaustraliamostly since then,Fear-Mongering & Conspiracy,Race,negative,0.75136054
177,Fri Feb 09 12:05:44 +0000 2024,btw malaysia was a constitutionally secular nation till  when they became  moslem almost immediately declared themselves islamic republic thats why there are so many malaysian christianshindusbuddhistschinses who have emigrated to canadaaustraliamostly since then,Fear-Mongering & Conspiracy,National Identity,negative,0.7913278
177,Fri Feb 09 12:05:44 +0000 2024,btw malaysia was a constitutionally secular nation till  when they became  moslem almost immediately declared themselves islamic republic thats why there are so many malaysian christianshindusbuddhistschinses who have emigrated to canadaaustraliamostly since then,Fear-Mongering & Conspiracy,Social Issues,negative,0.8741507
178,Sat Feb 10 09:30:22 +0000 2024,learning that indonesia is more secular than malaysia malaysia panders to hamas and is more islamist,Fear-Mongering & Conspiracy,Islamic Identity,negative,0.914505
178,Sat Feb 10 09:30:22 +0000 2024,learning that indonesia is more secular than malaysia malaysia panders to hamas and is more islamist,Fear-Mongering & Conspiracy,Secularism,negative,0.5739295
178,Sat Feb 10 09:30:22 +0000 2024,learning that indonesia is more secular than malaysia malaysia panders to hamas and is more islamist,Fear-Mongering & Conspiracy,Race,negative,0.77383006
178,Sat Feb 10 09:30:22 +0000 2024,learning that indonesia is more secular than malaysia malaysia panders to hamas and is more islamist,Fear-Mongering & Conspiracy,National Identity,negative,0.70139647
179,Sat Feb 10 11:41:49 +0000 2024,but acktchually malaysia is a secular nation i whisper to myself as the taliban horde assembles at my door malaysia isnt an islamic state i reassure myself as the th mosque gets erected in my neighborhood,Cultural Resistance to Islamization,Islamic Identity,negative,0.4700006
179,Sat Feb 10 11:41:49 +0000 2024,but acktchually malaysia is a secular nation i whisper to myself as the taliban horde assembles at my door malaysia isnt an islamic state i reassure myself as the th mosque gets erected in my neighborhood,Cultural Resistance to Islamization,Secularism,positive,0.91814643
179,Sat Feb 10 11:41:49 +0000 2024,but acktchually malaysia is a secular nation i whisper to myself as the taliban horde assembles at my door malaysia isnt an islamic state i reassure myself as the th mosque gets erected in my neighborhood,Cultural Resistance to Islamization,Race,neutral,0.44206342
179,Sat Feb 10 11:41:49 +0000 2024,but acktchually malaysia is a secular nation i whisper to myself as the taliban horde assembles at my door malaysia isnt an islamic state i reassure myself as the th mosque gets erected in my neighborhood,Cultural Resistance to Islamization,National Identity,positive,0.49478075
180,Mon Feb 19 01:45:20 +0000 2024,people like you should be kick out of malaysia dan go and stay in afghan or iranmalaysia is a multiracial secular based countryi wish i can drink beer in front of your stxpd faceclowns in this country,Directly Hostile Terms,Secularism,positive,0.7509445
180,Mon Feb 19 01:45:20 +0000 2024,people like you should be kick out of malaysia dan go and stay in afghan or iranmalaysia is a multiracial secular based countryi wish i can drink beer in front of your stxpd faceclowns in this country,Directly Hostile Terms,Race,positive,0.4622456
180,Mon Feb 19 01:45:20 +0000 2024,people like you should be kick out of malaysia dan go and stay in afghan or iranmalaysia is a multiracial secular based countryi wish i can drink beer in front of your stxpd faceclowns in this country,Directly Hostile Terms,National Identity,negative,0.738206
181,Sun Feb 11 02:21:20 +0000 2024,malaysia is a muslimislamic country they only use secular law they also have segregation law so thats why imc never tried to badmouth malaysia because he may actually jailed for long time,Fear-Mongering & Conspiracy,Islamic Identity,neutral,0.7367067
181,Sun Feb 11 02:21:20 +0000 2024,malaysia is a muslimislamic country they only use secular law they also have segregation law so thats why imc never tried to badmouth malaysia because he may actually jailed for long time,Fear-Mongering & Conspiracy,Secularism,neutral,0.6863956
181,Sun Feb 11 02:21:20 +0000 2024,malaysia is a muslimislamic country they only use secular law they also have segregation law so thats why imc never tried to badmouth malaysia because he may actually jailed for long time,Fear-Mongering & Conspiracy,Race,neutral,0.49291992
181,Sun Feb 11 02:21:20 +0000 2024,malaysia is a muslimislamic country they only use secular law they also have segregation law so thats why imc never tried to badmouth malaysia because he may actually jailed for long time,Fear-Mongering & Conspiracy,National Identity,neutral,0.5730676
182,Fri Feb 23 08:04:46 +0000 2024,they really should just move to iran or other islamic theocracies if they cant stand the secular governance of malaysia their bigotry really is yikes,Cultural Resistance to Islamization,Islamic Identity,neutral,0.35377273
182,Fri Feb 23 08:04:46 +0000 2024,they really should just move to iran or other islamic theocracies if they cant stand the secular governance of malaysia their bigotry really is yikes,Cultural Resistance to Islamization,Secularism,negative,0.9592067
182,Fri Feb 23 08:04:46 +0000 2024,they really should just move to iran or other islamic theocracies if they cant stand the secular governance of malaysia their bigotry really is yikes,Cultural Resistance to Islamization,Race,negative,0.86339146
182,Fri Feb 23 08:04:46 +0000 2024,they really should just move to iran or other islamic theocracies if they cant stand the secular governance of malaysia their bigotry really is yikes,Cultural Resistance to Islamization,National Identity,negative,0.8289734
183,Tue Mar 19 05:20:59 +0000 2024,an individual brings a banner on kk mart barbaric boycott in front of a convenience store in bakri muar this morning asked the public to boycott the premises following his actions to sell socks on the word allah video social media malaysiagazette kkmart bakri,Fear-Mongering & Conspiracy,Race,neutral,0.9766259
183,Tue Mar 19 05:20:59 +0000 2024,an individual brings a banner on kk mart barbaric boycott in front of a convenience store in bakri muar this morning asked the public to boycott the premises following his actions to sell socks on the word allah video social media malaysiagazette kkmart bakri,Fear-Mongering & Conspiracy,National Identity,neutral,0.9755089
183,Tue Mar 19 05:20:59 +0000 2024,an individual brings a banner on kk mart barbaric boycott in front of a convenience store in bakri muar this morning asked the public to boycott the premises following his actions to sell socks on the word allah video social media malaysiagazette kkmart bakri,Fear-Mongering & Conspiracy,Social Issues,neutral,0.97905195
184,Sun Mar 17 01:29:39 +0000 2024,umno youth gave kk marts two day management a two day apology to all  branches nationwide following its civilization selling the word of allah its leader dr akmal saleh insists that if umno youth failed nationwide,Directly Hostile Terms,Politics,neutral,0.5598717
184,Sun Mar 17 01:29:39 +0000 2024,umno youth gave kk marts two day management a two day apology to all  branches nationwide following its civilization selling the word of allah its leader dr akmal saleh insists that if umno youth failed nationwide,Directly Hostile Terms,Social Issues,neutral,0.5853152
185,Wed Mar 20 13:38:50 +0000 2024,the umno party has never stopped me to defend islam and the country the dap is the issue of socks on this word of allah as a racial issue a  oekmala   s malaysiagazette,Religious Comparison,Islamic Identity,neutral,0.67793745
185,Wed Mar 20 13:38:50 +0000 2024,the umno party has never stopped me to defend islam and the country the dap is the issue of socks on this word of allah as a racial issue a  oekmala   s malaysiagazette,Religious Comparison,Race,negative,0.67542434
185,Wed Mar 20 13:38:50 +0000 2024,the umno party has never stopped me to defend islam and the country the dap is the issue of socks on this word of allah as a racial issue a  oekmala   s malaysiagazette,Religious Comparison,National Identity,neutral,0.611159
185,Wed Mar 20 13:38:50 +0000 2024,the umno party has never stopped me to defend islam and the country the dap is the issue of socks on this word of allah as a racial issue a  oekmala   s malaysiagazette,Religious Comparison,Politics,neutral,0.81848264
186,Wed Mar 20 11:29:08 +0000 2024,in malaysia it is far different from the liberal leader and the male butterfly man who cares  spin and chat biliyun je peliwat pro only dr akmal salleh can hope in umno,Directly Hostile Terms,Secularism,neutral,0.83193403
186,Wed Mar 20 11:29:08 +0000 2024,in malaysia it is far different from the liberal leader and the male butterfly man who cares  spin and chat biliyun je peliwat pro only dr akmal salleh can hope in umno,Directly Hostile Terms,Race,neutral,0.89589584
186,Wed Mar 20 11:29:08 +0000 2024,in malaysia it is far different from the liberal leader and the male butterfly man who cares  spin and chat biliyun je peliwat pro only dr akmal salleh can hope in umno,Directly Hostile Terms,National Identity,neutral,0.8500623
186,Wed Mar 20 11:29:08 +0000 2024,in malaysia it is far different from the liberal leader and the male butterfly man who cares  spin and chat biliyun je peliwat pro only dr akmal salleh can hope in umno,Directly Hostile Terms,Politics,neutral,0.8715251
187,Thu Mar 14 06:15:37 +0000 2024,nope malaysia example  was constitutionally secular till   in  they became  moslem  immediately declared itself islamic republic  all reservations subsidies etc switched to so called bhumiputras moslem malays,Fear-Mongering & Conspiracy,Islamic Identity,negative,0.5712963
187,Thu Mar 14 06:15:37 +0000 2024,nope malaysia example  was constitutionally secular till   in  they became  moslem  immediately declared itself islamic republic  all reservations subsidies etc switched to so called bhumiputras moslem malays,Fear-Mongering & Conspiracy,Secularism,negative,0.90242463
187,Thu Mar 14 06:15:37 +0000 2024,nope malaysia example  was constitutionally secular till   in  they became  moslem  immediately declared itself islamic republic  all reservations subsidies etc switched to so called bhumiputras moslem malays,Fear-Mongering & Conspiracy,Race,negative,0.8576479
187,Thu Mar 14 06:15:37 +0000 2024,nope malaysia example  was constitutionally secular till   in  they became  moslem  immediately declared itself islamic republic  all reservations subsidies etc switched to so called bhumiputras moslem malays,Fear-Mongering & Conspiracy,National Identity,negative,0.84728074
187,Thu Mar 14 06:15:37 +0000 2024,nope malaysia example  was constitutionally secular till   in  they became  moslem  immediately declared itself islamic republic  all reservations subsidies etc switched to so called bhumiputras moslem malays,Fear-Mongering & Conspiracy,Social Issues,negative,0.7922688
188,Thu Mar 21 08:37:06 +0000 2024,country malaysia secular country  wahhhhh  xhabis again baran org melayu kau nk baked again,Cultural Resistance to Islamization,Secularism,neutral,0.64808387
188,Thu Mar 21 08:37:06 +0000 2024,country malaysia secular country  wahhhhh  xhabis again baran org melayu kau nk baked again,Cultural Resistance to Islamization,Race,neutral,0.9738874
188,Thu Mar 21 08:37:06 +0000 2024,country malaysia secular country  wahhhhh  xhabis again baran org melayu kau nk baked again,Cultural Resistance to Islamization,National Identity,neutral,0.95544374
189,Tue Mar 12 09:25:49 +0000 2024,pn close of vernakular school also pn close of the national school candine last i checked malaysia has  nonmuslim are we subhumans in the eyes of pn people,Directly Hostile Terms,Islamic Identity,negative,0.8146929
189,Tue Mar 12 09:25:49 +0000 2024,pn close of vernakular school also pn close of the national school candine last i checked malaysia has  nonmuslim are we subhumans in the eyes of pn people,Directly Hostile Terms,Race,negative,0.82959557
189,Tue Mar 12 09:25:49 +0000 2024,pn close of vernakular school also pn close of the national school candine last i checked malaysia has  nonmuslim are we subhumans in the eyes of pn people,Directly Hostile Terms,National Identity,neutral,0.66892993
189,Tue Mar 12 09:25:49 +0000 2024,pn close of vernakular school also pn close of the national school candine last i checked malaysia has  nonmuslim are we subhumans in the eyes of pn people,Directly Hostile Terms,Politics,negative,0.71456474
189,Tue Mar 12 09:25:49 +0000 2024,pn close of vernakular school also pn close of the national school candine last i checked malaysia has  nonmuslim are we subhumans in the eyes of pn people,Directly Hostile Terms,Social Issues,negative,0.7116076
190,Tue Mar 12 06:04:14 +0000 2024,malaysia country with  of islamic population but non muslim individuals can ask muslims to shut up in the aqidah chapter  of the islamic population can even ask you to worship a man made statue shut up but thankfully this population is more tolerant,Directly Hostile Terms,Islamic Identity,neutral,0.60776305
190,Tue Mar 12 06:04:14 +0000 2024,malaysia country with  of islamic population but non muslim individuals can ask muslims to shut up in the aqidah chapter  of the islamic population can even ask you to worship a man made statue shut up but thankfully this population is more tolerant,Directly Hostile Terms,Race,negative,0.5699815
190,Tue Mar 12 06:04:14 +0000 2024,malaysia country with  of islamic population but non muslim individuals can ask muslims to shut up in the aqidah chapter  of the islamic population can even ask you to worship a man made statue shut up but thankfully this population is more tolerant,Directly Hostile Terms,National Identity,negative,0.54734063
191,Wed Mar 27 07:17:22 +0000 2024,to say they are foolishhmmm malaysia karak east coast highways operator pleads with muslim motorists not to pray on emergency lanes but they say getting knocked praying is a gateway to jannah ai,Directly Hostile Terms,Islamic Identity,neutral,0.7899806
191,Wed Mar 27 07:17:22 +0000 2024,to say they are foolishhmmm malaysia karak east coast highways operator pleads with muslim motorists not to pray on emergency lanes but they say getting knocked praying is a gateway to jannah ai,Directly Hostile Terms,Race,neutral,0.73128927
191,Wed Mar 27 07:17:22 +0000 2024,to say they are foolishhmmm malaysia karak east coast highways operator pleads with muslim motorists not to pray on emergency lanes but they say getting knocked praying is a gateway to jannah ai,Directly Hostile Terms,National Identity,neutral,0.7386655
192,Mon Mar 25 02:31:36 +0000 2024,this is the islam that i totally reject so much abuse done in the name of islam in this country polis siasat dakwaan pelajar dirotan tak solat tarawih,Directly Hostile Terms,Islamic Identity,negative,0.6062214
193,Sat Mar 16 07:31:01 +0000 2024,this is an example of secularliberal ideologies encroaching upon the muslim community in malaysia they want to push religion into private sphere,Cultural Resistance to Islamization,Islamic Identity,negative,0.7922846
193,Sat Mar 16 07:31:01 +0000 2024,this is an example of secularliberal ideologies encroaching upon the muslim community in malaysia they want to push religion into private sphere,Cultural Resistance to Islamization,Secularism,negative,0.62005675
193,Sat Mar 16 07:31:01 +0000 2024,this is an example of secularliberal ideologies encroaching upon the muslim community in malaysia they want to push religion into private sphere,Cultural Resistance to Islamization,Race,negative,0.86703223
193,Sat Mar 16 07:31:01 +0000 2024,this is an example of secularliberal ideologies encroaching upon the muslim community in malaysia they want to push religion into private sphere,Cultural Resistance to Islamization,National Identity,negative,0.84956026
193,Sat Mar 16 07:31:01 +0000 2024,this is an example of secularliberal ideologies encroaching upon the muslim community in malaysia they want to push religion into private sphere,Cultural Resistance to Islamization,Politics,negative,0.86383176
194,Mon Mar 04 09:49:02 +0000 2024,england is a christian country that saint george flag is the proof gb are secular because india malaysia are gb colonies and their religions arent christians it is easy answer that no one can deliver because majority today are stupid,Directly Hostile Terms,Secularism,negative,0.8473729
194,Mon Mar 04 09:49:02 +0000 2024,england is a christian country that saint george flag is the proof gb are secular because india malaysia are gb colonies and their religions arent christians it is easy answer that no one can deliver because majority today are stupid,Directly Hostile Terms,Race,negative,0.9382227
194,Mon Mar 04 09:49:02 +0000 2024,england is a christian country that saint george flag is the proof gb are secular because india malaysia are gb colonies and their religions arent christians it is easy answer that no one can deliver because majority today are stupid,Directly Hostile Terms,National Identity,negative,0.93280613
195,Fri Mar 22 03:39:05 +0000 2024,clean up our education and administrative systems and free it frm religiosity and entrenched racial doctrines ow msia will continue to be plagued by racism racist practices and racist ppl if no change the slogan shd be malaysia truly multiracist,Cultural Resistance to Islamization,Race,negative,0.98826617
195,Fri Mar 22 03:39:05 +0000 2024,clean up our education and administrative systems and free it frm religiosity and entrenched racial doctrines ow msia will continue to be plagued by racism racist practices and racist ppl if no change the slogan shd be malaysia truly multiracist,Cultural Resistance to Islamization,National Identity,negative,0.98631775
195,Fri Mar 22 03:39:05 +0000 2024,clean up our education and administrative systems and free it frm religiosity and entrenched racial doctrines ow msia will continue to be plagued by racism racist practices and racist ppl if no change the slogan shd be malaysia truly multiracist,Cultural Resistance to Islamization,Social Issues,negative,0.982249
196,Sat Mar 02 07:07:18 +0000 2024,greetings do not say the country of malaysia communist multiracial religion secular liberal lgbtq lgbtq aparaaaaa,Directly Hostile Terms,Secularism,positive,0.86819994
196,Sat Mar 02 07:07:18 +0000 2024,greetings do not say the country of malaysia communist multiracial religion secular liberal lgbtq lgbtq aparaaaaa,Directly Hostile Terms,Race,negative,0.4553894
196,Sat Mar 02 07:07:18 +0000 2024,greetings do not say the country of malaysia communist multiracial religion secular liberal lgbtq lgbtq aparaaaaa,Directly Hostile Terms,National Identity,positive,0.6591285
197,Thu Mar 21 08:22:46 +0000 2024,greetings of the malaysian unity government of the secular liberal government that you know the word of allah in islam in the malaysian madani unity government,Fear-Mongering & Conspiracy,Islamic Identity,neutral,0.95735294
197,Thu Mar 21 08:22:46 +0000 2024,greetings of the malaysian unity government of the secular liberal government that you know the word of allah in islam in the malaysian madani unity government,Fear-Mongering & Conspiracy,Secularism,neutral,0.83186424
197,Thu Mar 21 08:22:46 +0000 2024,greetings of the malaysian unity government of the secular liberal government that you know the word of allah in islam in the malaysian madani unity government,Fear-Mongering & Conspiracy,Race,neutral,0.9031819
197,Thu Mar 21 08:22:46 +0000 2024,greetings of the malaysian unity government of the secular liberal government that you know the word of allah in islam in the malaysian madani unity government,Fear-Mongering & Conspiracy,National Identity,neutral,0.8803565
197,Thu Mar 21 08:22:46 +0000 2024,greetings of the malaysian unity government of the secular liberal government that you know the word of allah in islam in the malaysian madani unity government,Fear-Mongering & Conspiracy,Politics,neutral,0.9256596
198,Tue Mar 26 23:09:00 +0000 2024,happy birthday to the sovereignty of my country in malaysia in malaysia multiple nations secular liberal nations who are free to choose the religion of islam in the political chapter in the robbery of corruption in the country of malaysia,Fear-Mongering & Conspiracy,Islamic Identity,neutral,0.48179367
198,Tue Mar 26 23:09:00 +0000 2024,happy birthday to the sovereignty of my country in malaysia in malaysia multiple nations secular liberal nations who are free to choose the religion of islam in the political chapter in the robbery of corruption in the country of malaysia,Fear-Mongering & Conspiracy,Secularism,positive,0.6752166
198,Tue Mar 26 23:09:00 +0000 2024,happy birthday to the sovereignty of my country in malaysia in malaysia multiple nations secular liberal nations who are free to choose the religion of islam in the political chapter in the robbery of corruption in the country of malaysia,Fear-Mongering & Conspiracy,Race,positive,0.713911
198,Tue Mar 26 23:09:00 +0000 2024,happy birthday to the sovereignty of my country in malaysia in malaysia multiple nations secular liberal nations who are free to choose the religion of islam in the political chapter in the robbery of corruption in the country of malaysia,Fear-Mongering & Conspiracy,National Identity,positive,0.7808388
198,Tue Mar 26 23:09:00 +0000 2024,happy birthday to the sovereignty of my country in malaysia in malaysia multiple nations secular liberal nations who are free to choose the religion of islam in the political chapter in the robbery of corruption in the country of malaysia,Fear-Mongering & Conspiracy,Politics,neutral,0.5646944
199,Wed Mar 06 07:33:28 +0000 2024,the only people unwilling to accept at the islamofascists of malaya but they can exit malaysia if they don t like being in a secular federation but do they have the will,Cultural Resistance to Islamization,Islamic Identity,negative,0.7335814
199,Wed Mar 06 07:33:28 +0000 2024,the only people unwilling to accept at the islamofascists of malaya but they can exit malaysia if they don t like being in a secular federation but do they have the will,Cultural Resistance to Islamization,Secularism,neutral,0.56878334
199,Wed Mar 06 07:33:28 +0000 2024,the only people unwilling to accept at the islamofascists of malaya but they can exit malaysia if they don t like being in a secular federation but do they have the will,Cultural Resistance to Islamization,Race,negative,0.7367641
199,Wed Mar 06 07:33:28 +0000 2024,the only people unwilling to accept at the islamofascists of malaya but they can exit malaysia if they don t like being in a secular federation but do they have the will,Cultural Resistance to Islamization,National Identity,negative,0.75268376
200,Sun Mar 24 10:03:26 +0000 2024,org malay islam majority anti liberal and secular aunt my aunt has to move a new singapore malaysia indonesia brunei is a fierce malay and the blood of many heroes and they love their religion and their homeland d 2  3/4,Directly Hostile Terms,Islamic Identity,neutral,0.88306165
200,Sun Mar 24 10:03:26 +0000 2024,org malay islam majority anti liberal and secular aunt my aunt has to move a new singapore malaysia indonesia brunei is a fierce malay and the blood of many heroes and they love their religion and their homeland d 2  3/4,Directly Hostile Terms,Secularism,negative,0.83116436
200,Sun Mar 24 10:03:26 +0000 2024,org malay islam majority anti liberal and secular aunt my aunt has to move a new singapore malaysia indonesia brunei is a fierce malay and the blood of many heroes and they love their religion and their homeland d 2  3/4,Directly Hostile Terms,Race,neutral,0.8763144
200,Sun Mar 24 10:03:26 +0000 2024,org malay islam majority anti liberal and secular aunt my aunt has to move a new singapore malaysia indonesia brunei is a fierce malay and the blood of many heroes and they love their religion and their homeland d 2  3/4,Directly Hostile Terms,National Identity,neutral,0.8625534
201,Sun Mar 24 09:03:36 +0000 2024,malaysia is a secular country you retdird,Directly Hostile Terms,Secularism,positive,0.9275458
201,Sun Mar 24 09:03:36 +0000 2024,malaysia is a secular country you retdird,Directly Hostile Terms,Race,neutral,0.9267957
201,Sun Mar 24 09:03:36 +0000 2024,malaysia is a secular country you retdird,Directly Hostile Terms,National Identity,neutral,0.8587252
202,Sun Mar 17 07:54:23 +0000 2024,you just are twisting facts india is secular becos hindus are show me one muslim majority country which provides equality to all ignore indonesiamalaysia becos just  yrs back these countries were fully hindus and so retained a bit of hinduism any m country in me or africa,Directly Hostile Terms,Islamic Identity,negative,0.9225737
202,Sun Mar 17 07:54:23 +0000 2024,you just are twisting facts india is secular becos hindus are show me one muslim majority country which provides equality to all ignore indonesiamalaysia becos just  yrs back these countries were fully hindus and so retained a bit of hinduism any m country in me or africa,Directly Hostile Terms,Secularism,negative,0.73390853
202,Sun Mar 17 07:54:23 +0000 2024,you just are twisting facts india is secular becos hindus are show me one muslim majority country which provides equality to all ignore indonesiamalaysia becos just  yrs back these countries were fully hindus and so retained a bit of hinduism any m country in me or africa,Directly Hostile Terms,Race,negative,0.9355578
202,Sun Mar 17 07:54:23 +0000 2024,you just are twisting facts india is secular becos hindus are show me one muslim majority country which provides equality to all ignore indonesiamalaysia becos just  yrs back these countries were fully hindus and so retained a bit of hinduism any m country in me or africa,Directly Hostile Terms,National Identity,negative,0.9313045
203,Mon Apr 08 02:00:10 +0000 2024,former teachers urge the minister of education to change window design in all schools in malaysia the current form resembles the cross we try the oval window and he is confident,Fear-Mongering & Conspiracy,Race,neutral,0.9736075
