Id,created_at,full_text,label,type,explanation
313,Sat Aug 10 16:41:12 +0000 2024,@Starboy2079 When bd formed it was declared as secular but later military admin declared it islamic so what being said is going to original status. If bd having 90 per m population decades muslim why not India with 80 Hindu . Malaysia have 55 per m but still a m state,1,Religious Comparison,Draws a direct population-based comparison between majority-Muslim and majority-Hindu nations implying justification for religious identity of the state.
314,Fri Aug 09 05:54:02 +0000 2024,Folks: This post is to point out that while BD people on social media pretend their nation is secular in reality it is not. The global left is trying to portray this interim government as democratic with secular values while in reality it is not. This is also for the Muslims,1,Fear-Mongering & Conspiracy,"Implies Muslims and leftists are involved in deceiving the public about secularism, suggesting hidden agendas."
315,Tue Sep 17 13:23:59 +0000 2024,See the kind of secularism in Kerala. Celebrating Eid Milad-un-Nabi inside temple wearing shoes. The leftists who rule Temple are permitting all this nonsense to appease the vote bank. https://t.co/0iReM6eeB2,1,Fear-Mongering & Conspiracy,"Frames Eid celebration in a temple as ‚Äònonsense‚Äô by Muslims for political gain, suggesting irrational actions."
316,Tue Sep 24 17:17:21 +0000 2024,Secularism means total separation of religion and State. And our State demonstrates it through providing Haj subsidy holding Iftar parties giving salaries to maulvis funding colleges that preferentially admit religious minorities controlling Hindu temples running madrassas. https://t.co/NMB73xLxQ0,1,Fear-Mongering & Conspiracy,"Accuses the state of favoring Muslims through subsidies and religious funding while calling it secular, implying unfair treatment."
317,Mon Sep 02 06:00:24 +0000 2024,Bangunan kayu gereja berlantai tanah yg berada di pinggir hutan Dharmasraya desa Sopan Jaya Sumbar dibongkar warga muslim karena dianggap mengganggu Saat saudara2 lain sudah menikmati kemerdekaan di 1945 ternyata masih banyak rakyat Indonesia masih terjajah dan belum merdeka https://t.co/c54RxU9gKb,1,Directly Hostile Terms,"Describes Muslims tearing down a church, suggesting hostile actions due to religious identity."
318,Thu Sep 19 15:44:19 +0000 2024,Progressive student leader JNU scholar Comrade grew in Communist party from AIYF to CPI and now an MLA in Kerala assembly. Muhammad Muhasin But he has no confusion when it comes to his religion. He is proudly announcing his travel for Umrah Foolish Hindu &amp; Xtian Comrades !! https://t.co/oDXUHV7Ex5,1,Directly Hostile Terms,"Mocks a Muslim politician‚Äôs Umrah, and targets other religious groups (Hindu & Christian) with slurs."
319,Fri Sep 20 04:55:01 +0000 2024,A Pakistani Chef caught spitting on Food in a Malaysian restaurant Malaysia is an Islamic state with 70% Muslim population https://t.co/FqaGlGUrad,1,Fear-Mongering & Conspiracy,Uses a negative incident to generalize about Muslims in Malaysia.
320,Mon Sep 09 11:39:14 +0000 2024, Jangan samakan melayu dengan asal china Baru je cakap hahaha memang mentality bangsa melayu je paling islam paling bersih dan halal kalau kt malaysia ni https://t.co/eoUGowz1a3,1,Directly Hostile Terms,Generalizes and mocks Malay Muslims as having a superiority complex about being ‚Äòmost halal‚Äô.
321,Tue Sep 24 03:24:51 +0000 2024,Absolutely !! Agreed on their Miracle Church is not owned by the state. Ma$jid is not owned by the state. Only Temples are owned by the state and call it as Secular Country .. https://t.co/kirBmG9Xin,1,Religious Comparison,"Accuses secularism of being biased in managing religious properties, with negative tone toward Muslims."
322,Mon Sep 09 05:21:23 +0000 2024,Ketua Pemuda DAP Dr Kelvin Yii Lee Wuen menyelar rakan sejawatannya dari Umno Dr Muhammad Akmal Saleh yang mahu menampal logo tidak halal pada dahi ahli Parlimen Seputeh Teresa Kok. Berita penuh: https://t.co/1BbNH1TDIr https://t.co/rdrpqaaV4G,1,Directly Hostile Terms,Describes proposed labeling of a politician with a ‚Äònon-halal‚Äô mark in a discriminatory way.
323,Sun Sep 15 14:49:20 +0000 2024,Jemaat gereja GJKI Sukoharjo terpaksa ibadah di lantai di tanah milik mrk dgn tenda hanya krn tdk ada muslim (60 tanda tangan) yg mau memberikn izin utk mrk mendirikan rumah ibadah Cuma negara ini yg punya UU izin ibadah perlu persetujuan warga agama lain https://t.co/FgAGlAVXua https://t.co/Uxg2Luc8P9,1,Directly Hostile Terms,"Highlights refusal of Muslims to allow church construction, implying systemic religious discrimination."
324,Wed Sep 11 16:44:03 +0000 2024,Inilah BAHAYANYA PENUNGGANG AGAMA. Moga KERAJAAN HARAMKAN penunggang agama di Malaysia sebelum terlambat üá≤üáæ https://t.co/iYzqD8swGd,1,Directly Hostile Terms,"Refers to 'penunggang agama' (religious exploiters) and calls for a ban, which targets religious figures with hostility."
325,Thu Sep 12 16:18:10 +0000 2024,Horrific game of sexual exploitation in Islamic charity homes unearthed in Malaysia! Malaysian police have busted child sexual abuse rackets at 20 Islamic charity homes rescued 400 children arrested 171 including ustads/Islamic clerics during raids in 2 states. https://t.co/tnADXnDXz9,1,Fear-Mongering & Conspiracy,Highlights abuse cases in Islamic institutions to portray Islam negatively.
326,Tue Sep 17 05:55:35 +0000 2024,Tujuannya adalah mengimbangi sosio-ekonomi bumiputera selain memelihara akidah islam rakyat Malaysia Human-righta di Malaysia perlu berpandukan perlembagaan dan bukan definisi world order(secular liberal) https://t.co/HjBGOvdG9S,1,Religious Supremacy,Criticizes secular liberal values and promotes religious-based governance and worldview.
327,Mon Sep 02 13:33:37 +0000 2024,@encikmimpizz Kena kenal muslim mana yang sokong Malaysia as Secular State Kalau muslim faham apa y disampaikan di dalam khutbah mereka tidak akan undi muslim y sokong secular state https://t.co/C2SdfXTHU1,1,Religious Supremacy,"Says Muslims shouldn‚Äôt vote for secular-state supporters, asserting religious dominance in politics."
328,Mon Sep 16 16:03:07 +0000 2024,@RichardPower_ Celaka siapa yang buat MoU ini Secara terangan mereka mengambil tafsiran human-rights melalui lensa World Order(Secular-liberal) dan mengetepikan tafsiran Perlembagaan Malaysia https://t.co/awQvuqA4ig,1,Directly Hostile Terms,Uses strong derogatory language against secular-liberal interpretation of human rights.
329,Thu Sep 26 09:07:15 +0000 2024,Kenapa kat Malaysia kita kena bersuara kebimbangan akan hal¬≤ sebegini? Sebab kita tak nak agama Islam ni jadi macam kartun sbg mana dibuat oleh penduduk negara Konoha. Tgk sendiri cara mereka sambut Maulidur Rasul siap ada telur berhias bersama dgn replika dan wang. ‚ÄçÔ∏è https://t.co/a9llixIH4e,1,Directly Hostile Terms,Mocks Islamic practices using analogy to fictional 'Konoha'; demeaning tone.
330,Fri Sep 06 15:54:00 +0000 2024, It's pretty difficult to have a serious debate with someone who thinks an all-powerful sky dad is on their side. - Thor Benson. #Atheism #Agnostic #Secular #Freethinker #Skeptic #RationalThought #CriticalThinking #Philosophy #Viral #Trending #QuoteOfTheDay #AtheistHumor #God https://t.co/qovXkyM4iC,1,Directly Hostile Terms,"Mocks belief in God with a condescending tone, portraying religious believers as irrational."
331,Thu Sep 12 21:47:19 +0000 2024,BIG NEWS Malaysian police rescue 400 minors from suspected se**ual abuse at Islamic charity homes. 117 people including Maulvi arrested. Malaysian Authority said Islamic charity homes used to exploit religious sentiment to garner public sympathy and raise funds for the https://t.co/rm30gXnnk4,1,Fear-Mongering & Conspiracy,"Presents serious abuse allegations in Islamic institutions, framed to induce fear."
332,Thu Sep 26 15:23:59 +0000 2024,#ImagineNoReligion is such a great hashtag. Thanks John for giving humankind that phrase and making it kind of mainstream. One day we will not need to imagine it. #JohnLennon #HumanEvolution #NoGod #Secular #Rationality #1971 #GivePeaceAChance #ImagineNoPossessions #Humanists https://t.co/hxeBAWgdsS,1,Religious Supremacy,Promotes a future without religion as superior to current religious society.
333,Wed Sep 25 17:38:00 +0000 2024,They want secularism until they become majority. After that country will be declared as an Islamic nation. Even before that they demand starts for separate personal laws instead of uniform civil code.,1,Fear-Mongering & Conspiracy,Claims Muslims only pretend to support secularism until gaining majority to enforce Islam.
334,Sat Sep 07 05:06:31 +0000 2024,Malaysia negara islam Malaysia majoriti orang islam. Tiba DAP sibuk pasal halal haram .. Walanon masih okay je,1,Fear-Mongering & Conspiracy,"Suggests Muslim majority negates concerns from non-Muslims, dismissive of pluralistic concerns."
335,Wed Sep 11 14:57:20 +0000 2024,Apart from Global Ikhwan... These are also cults: - Aman Palestin - Ikatan Muslimin Malaysia (ISMA) - Parti Islam Se-Malaysia,1,Directly Hostile Terms,"Labels Islamic organizations as cults, dehumanizing religious entities."
336,Wed Sep 25 17:19:59 +0000 2024,boleh la tutup JAKIM. bajet RM1.1 bilion (ye bukan RM2 bilion) tu bagi dekat KKM. lepas tu tutup la sekolah kafa tu elaun cikgu kafa JAKIM bayar dah takde masjid surau seluruh negara imam-imam rawatib pun tak payah dibayar elaun. jadi imam mana ada kos sara hidup kan? masjid,1,Directly Hostile Terms,Calls for shutting down JAKIM and mocks religious institutions with sarcasm.
337,Mon Sep 09 02:28:30 +0000 2024,I have said it many times- there is no more space for any rational discussion on Islam in the public policy space. Non-Muslims even elected leaders will immediately face police reports and other imitation tactics if they raise anything. They are asking questions about public https://t.co/CsJsFAVDqi,1,Fear-Mongering & Conspiracy,Claims Islam restricts rational discourse and silences non-Muslims through intimidation.
338,Fri Sep 27 04:44:26 +0000 2024,Antara isi khutbah Jumaat nukilan JAKIM hari ni Berpegang Atas Manhaj Yang Benar . Suruh kita diam. Nampak macam nak cover kelemahan. Dah tak tahan kena kritik lah tu. Lepas tu suruh kita doakan mereka yang terlanjur diberi hidayah . Serious? Yang aku kerap doakan sejak dua https://t.co/o2sAHofTY9,1,Fear-Mongering & Conspiracy,Frames Islamic religious authorities as hiding flaws and deflecting criticism.
339,Mon Sep 16 14:13:01 +0000 2024,Characteristic of Islamophobia in Malaysia: Secular mindset Pushing religion to private sphere Pushing human-rights agenda from secular-liberal perspective Anti islamic establishment Anti islamic preachers,1,Directly Hostile Terms,"Lists characteristics of Islamophobia, yet uses them to label and criticize secularism and liberalism."
340,Tue Sep 24 13:38:09 +0000 2024,Also i wanna add that this goes towards both sides. The extreme right want their theocracy Islamic State whereas the extreme left want their secular presidential democracy. In Malaysia it will be like this: secular -&gt; theocracy. Because majority are right leaning.,1,Fear-Mongering & Conspiracy,Predicts secularism will lead to Islamic theocracy in Malaysia with a warning tone.
341,Tue Sep 10 16:36:44 +0000 2024,99 Speedmart IPO: Record-Breaking Success Amidst Non-Shariah Compliance Concerns https://t.co/5wmkJc0m00 via @therakyatpost I don't think Muslims should try to halal-ise something secular. Like how I feel about Muslims attending Chinese schools. ,1,Directly Hostile Terms,Suggests Muslims should not try to participate in secular institutions like IPOs or Chinese schools.
342,Thu Sep 05 17:44:12 +0000 2024,@cyened U need to understand ur a muslim majority country along with Indonesia and Malaysia who are secular. U need to control ur yourselves and stop with these mindless and stupid tit for tat attack just because u are in majority doesn't mean u have the urge to terrorize the....,1,Directly Hostile Terms,Accuses Muslims in majority countries of being unable to control violent urges.
343,Wed Sep 11 05:43:06 +0000 2024,@casuaIcritique This is a result of society's adoption of secular paradigms and dilution of Islamic values. The Islamic societies of Saudi Arabia Qatar and Malaysia do not have this problem.,1,Religious Supremacy,Criticizes secularism while elevating Islamic societies like Malaysia.
344,Sat Sep 14 23:55:06 +0000 2024,@xAccioPeace Tak faham kenapa non-muslim di Malaysia ada masalah dengan religious police agama mereka tiada religious police tapi ada secular police mereka lebih percaya kepada secular police dari apa yang agama mereka ajar. Bab kitab agama tak usah cakaplah Pelik bukan?,1,Fear-Mongering & Conspiracy,"Portrays non-Muslims as irrational and distrustful, contrasting them unfavorably with Muslims."
345,Wed Sep 11 14:52:22 +0000 2024,ANUAR KAMU KELUAR DARI PENJARA KERANA WAN AZIZAH NURUL IZZAH ILHAM BERI PERMATANG PAUH PORT DICKSON KAMU JUMPA TUANKU AMBIL RM 200 RIBU KAMU BUAT PRU 15 KERAJAAN PERPADUAN SEKARANG MALAYSIA MADANI ANUAR KAMU MENUKARKAN NEGARA MALAYSIA DARI NEGARA ISLAM KE SECULAR LIBERAL,1,Fear-Mongering & Conspiracy,"Blames a political figure for turning Malaysia from an Islamic to a secular-liberal state, framing it as betrayal."
346,Thu Sep 05 04:17:19 +0000 2024,NEGARAKU MALAYSIA NEGARA ISLAM BUKAN SECULAR LIBERAL MENGKHIANATI BANGSA AGAMA KEDAULATANKU NEGARAKU MALAYSIA,1,Religious Supremacy,Rejects secularism and promotes Islam as the only acceptable governance model.
347,Fri Sep 06 22:26:02 +0000 2024,@sahouraxo Isn't Malaysia a racist communal country which addresses problems of their own communities? A country which has their own political policy revolves around a Religion should not preach a secular country about being communal. Also Israel is here to stay Mr. Prime Minister.,1,Directly Hostile Terms,Accuses Malaysia of racism and communal politics due to Islamic influence.
348,Mon Sep 02 15:08:30 +0000 2024,@Kalobhromor_8 @fb_alien But honestly speaking why didn't any Malaysian PM turn towards minorities in the face of defeat Malaysia has a very similar demography where Muslims are in majority She slyly inserted the word secular in the Constitution in a oil for Muslim labour scam with the Arabs back then,1,Fear-Mongering & Conspiracy,Accuses past Malaysian leaders of deceit involving secularism and Muslim labor.
349,Wed Sep 11 07:36:57 +0000 2024,@SaraParry16 @AKA_AD__ @freemonotheist creating a secular democracy with muslims is not possible as they will always seek exemption from the rules. especially the muslims in india theres well behaved muslims in places like malaysia indonesia etc.,1,Fear-Mongering & Conspiracy,"Claims Muslims inherently seek legal exemptions, portraying them as incompatible with secular democracy."
350,Fri Sep 20 05:00:33 +0000 2024,@sandxr888 @shimrat1onal There s no religious Muslim country that s prospering. Places like Indonesia and Malaysia are growing economically but I believe are technically secular and imo won t last once the crazies inevitably take over. The former Soviet Muslim countries are very atheist too,1,Fear-Mongering & Conspiracy,Predicts Islamic countries including Malaysia will collapse when extremists take over.
351,Tue Sep 24 15:50:51 +0000 2024,@ELuttwak What concerns me is the growing sentiment in countries with large Muslim populations against NATO and FOIP driven by sympathy for Palestine in the Hamas-Israel conflict. In Southeast Asia Indonesia and Malaysia have large Muslim populations and are becoming less secular. The,1,Fear-Mongering & Conspiracy,"Suggests Muslim-majority countries like Malaysia are becoming less secular due to sympathy for Hamas, implying threat."
352,Fri Sep 20 10:59:13 +0000 2024,@Assimalhakeem Sheikh isn t Turkey and Malaysia a secular country? Doesn t that technically make them Darul-Kufr even tho majority of the population are Muslims. The same logic with Spain when it was Darul Islam even tho most of the residents were kaafir?,1,Directly Hostile Terms,"Classifies secular Muslim countries as 'Darul-Kufr' (land of disbelief), a derogatory religious framing."
353,Thu Sep 05 21:31:55 +0000 2024,@Schandillia My eyes opened with incident of Lina Joy in Malaysia - how sharia is higher than secular judiciary. After that there were many incidents of one-way conversions by Malay bhumiputras who have more rights than minorities. Duplicity of converted Malay Muslims is unbelievable!,1,Fear-Mongering & Conspiracy,Claims Sharia overrides secular law and implies rights abuse by Muslims in Malaysia.
354,Sat Oct 05 02:58:07 +0000 2024,Hi there in Malaysia as a Muslim country we have a Non-Halal section for our non-muslims brothers and sisters. This has been there for decades. You just making another point how harmony Islam/Muslim is compare to you. Your act in fact is barbaric. https://t.co/xYAvZ1DCqs,1,Directly Hostile Terms,Mocks the userís act as ìbarbaricî while praising Islamís tolerance; this contrast is framed aggressively to insult.
355,Mon Oct 21 08:07:40 +0000 2024,See how secular this newspaper is.. They demean the Hindu festival and uphold the M festival,1,Religious Comparison,Dismisses Islamic celebrations as promoted unfairly over Hindu onesóimplies biased religious prioritization.
356,Tue Oct 22 02:25:10 +0000 2024,Secularism is a wonderful thing. I have not seen a secular muslim. I have not seen a secular Christian. I have not seen a secular Buddhist. I have not seen a secular Jew. But I have seen many secular Hindus !! That is why Secularism is absent in Vatican City Mecca Madinah ,1,Religious Comparison,"Suggests secularism is exclusive to Hindus, contrasting Islam and other religions as inherently unsecular."
357,Thu Oct 17 08:25:31 +0000 2024, Traditional Malay parents don't have to be open to the idea of their kids converting out of the religion because it won't happen ever but non-Malay parents are expected to be fine and open to the option of their kids converting to Islam for marriage. Fuck off.,1,Directly Hostile Terms,Uses profanity and accuses Muslims of hypocrisy over religious conversion tolerance.
358,Sat Oct 19 05:42:41 +0000 2024,MALAYSIA PM who given Asylum to Indian Fugitive Zakir khan mourns for demise of Terrorist #yahyasinwar. Looks like Malaysia - Peaceful Country moves towards from Secular Approach which is backbone for them. Supporting #Yahya_Sinwar like Leaders only ruins the life of People. https://t.co/qEfEXLKPx0,1,Directly Hostile Terms,"Frames Malaysia as supporting terrorists due to Islamic leadership, implying Islam = extremism."
359,Thu Oct 17 05:28:22 +0000 2024,@ifactoreal @Iqraq4 @MisticClarity Malaysia and some other countries has dual legal system - inherit by secular coloniser Most secular-liberal countries doesn t allow any other legal system in their land - see US first amendment Now you see how secular treat religious people https://t.co/Wba3Mu47mC,1,Cultural Resistance to Islamization,"Critiques Islamic legal presence in Malaysia, favoring secular Western systemsóimplies Islam is backward."
360,Sat Oct 19 09:49:32 +0000 2024,Anyone who thinks Malaysia is a secular moderate Islamic country should think again.,1,Cultural Resistance to Islamization,"Refuses to recognize Malaysia as a moderate Islamic country, implies hidden radicalism."
361,Mon Oct 21 21:00:11 +0000 2024,this is why i want Malaysia to be fully secular. too many assholes who use religion for their political and personal gains. it doesn t matter even if you re a criminal you d be excused by people who are easily swayed whenever they see someone whose job is to tunggang agama.,1,Cultural Resistance to Islamization,Claims religion is misused for power and corruptionótargets Islamís role in governance.
362,Sun Oct 13 22:08:51 +0000 2024,some people are pissed when i said i wanted Malaysia to be fully secular. i don t give a fck abt what you think Malaysia is best when it s fully secular. we have not only one beliefs but more than one. also religion is a very powerful tool for politicians to use. they misuse it.,1,Cultural Resistance to Islamization,Defends secularism by accusing religion (Islam) of being abused for political manipulation.
363,Wed Oct 09 21:28:36 +0000 2024,#ZakirNaik (now aka Joker Naik) lives in #Malaysia where 40% of population is non-muslims and country's constitution is largely secular. There are good reasons why India &amp; UK banned this moron.,1,Cultural Resistance to Islamization,"Attacks Islamic preacher Zakir Naik, linking Islam to extremism and undermining Malaysiaís secular image."
364,Mon Oct 14 09:14:41 +0000 2024,As long as there's yellow umbrella they will not let Malaysia be secular. They will come down crashing without their monarch power. Especially the one down south.,1,Cultural Resistance to Islamization,"Criticizes monarchy (linked with Islam) for blocking secular reform, implying authoritarian religious control."
365,Thu Oct 03 06:08:50 +0000 2024,Good luck arguing this with Moors who don't even identify as Tamils. There was a massive controversy in Malaysia some years ago where imams discouraged Muslims from participating in Pongal. There's no such thing as secular festival. All festivals are rooted in religion.,1,Cultural Resistance to Islamization,Condemns Muslims who reject interfaith practicesóimplies Islam resists secular pluralism.
366,Tue Oct 08 01:57:06 +0000 2024,@jameschin110 but let's not think Madani is not also a form of political Islam albeit less malignant. We are longing for the day that Malaysia returns to its secular roots as envisioned by TAR.,1,Cultural Resistance to Islamization,"Longs for secular Malaysia, calls political Islam a threatóeven when ìless malignantî."
367,Sun Oct 27 10:29:07 +0000 2024,@__darealcee__ @renoomokri ...And by the way the UAE (Dubai) is not a secular country. If you commit a criminal offense there you'll quickly see the role of Sharia law in their legal system. In fact the UAE Malaysia Bahrain Qatar and others practice Sharia law and have made progress in many areas...,1,Cultural Resistance to Islamization,Suggests Sharia law undermines justice in Muslim-majority countries including Malaysia.
368,Mon Oct 21 06:06:33 +0000 2024,@decritiquemeow @jameschin110 Of course - marginal representation sucks as you have pointed out. Making it skewed so much to East Malaysia would be bad - for all concerned. Who is to check your politicos then? But as I said it is probably Malaysia's only hope to survive as a secular nation so good luck!,1,Fear-Mongering & Conspiracy,Frames Malaysiaís future as doomed unless it becomes secularóportrays Islam as a danger.
369,Thu Oct 03 00:47:45 +0000 2024,Understandably secondary smoking is not cool but to entirely ban places is literally going to make ppl lawbreakers and this is why Malaysia with so many religious and secular laws just keep breaking laws to very bad degrees.,1,Cultural Resistance to Islamization,Claims mix of secular and religious laws makes people lawbreakersóimplies Islamic laws are impractical.
370,Thu Oct 24 13:10:15 +0000 2024,@Veridian33 @HongqiN701 Malaysia is a secular country with only 60% Muslim.,1,Cultural Resistance to Islamization,Highlights religious demographics to assert secular identityócriticizes Islamic majorityís control.
371,Sat Oct 05 01:35:11 +0000 2024,@mhmmdhsm mana sah perkahwinan . sbb tu zakir naik marah dengan kerajaan indonesia kenapa benarkan kahwin berlainan agama sedangkan indonesia antara negara yang ramai umat islam di dunia and kerajaan di pimpin oleh orang islam. tapi culas bab hukum hakam,1,Institutional Distrust,Criticizes inconsistencies in religious marriage law enforcementóimplies Islamic legal system is unfair.
372,Mon Oct 28 09:17:04 +0000 2024,@TziporShmimit @elerrantenomad Yes. IKIM IFSB (Islamic world BIS wannabe) and ISIS the thinktank too. The latter is more Malaysia focused but is still remarkable since unlike the rest of the ASEAN foreign policy thinktank world that is secular based they came from the Muslim youth network Tun M patronized,1,Cultural Resistance to Islamization,Mocks Islamic think tanks as fake intellectualsósuggests Islamic policy bodies lack legitimacy.
373,Mon Oct 07 12:31:40 +0000 2024,@MoraraKebasoSnr Kenya is a secular state and freedom of religion is enshrined in the nation's constitution. I think going into leadership religion should be a private affair.,1,Cultural Resistance to Islamization,"Advocates for religion-free governance, indirectly rejecting religious (Islamic) influence."
374,Thu Nov 14 13:06:38 +0000 2024,US puppet Yunus is moving to strike the word secular from the Constitution of Bangladesh. All the economic gains the country made in the last 15 years will be quickly ruined by Islamist extremists. Too much religion destroys nations. https://t.co/61qu6dcLwa,1,Cultural Resistance to Islamization,Claims religion (Islam) destroys nations and accuses Muslims of erasing secularism.
375,Tue Nov 05 10:26:57 +0000 2024,So per the Supreme Court the state funding Islamic religious schools is secular. This defies the definition of secularism anywhere in the world. India is unique. Here whatever promotes Islam and Christianity is secular else it is communal. https://t.co/XFe2qf7AdL,1,Institutional Distrust,Criticizes government support for Islamic schoolsócalls it a misuse of secularism.
376,Sun Nov 10 09:57:33 +0000 2024,The biggest irony in India s political lexicon is Muslims calling themselves secular mostly articulated by the same Maulanas who assert day and night that Muslims alone are entitled to heaven and all the rest will go to hell! Some secularism!,1,Cultural Resistance to Islamization,Accuses Muslims of hypocrisy for claiming secularism while preaching exclusivity.
377,Tue Nov 12 08:46:01 +0000 2024,@Liyanabright They re actually secular country though Islam is the majority religion. Masa tengok My Heart back in 2004 pun macam terkejut tgk Acha &amp; Irwansyah kiss walhal dedua Muslim ,1,Cultural Resistance to Islamization,Expresses shock at Muslim actors displaying intimacyóimplies cultural contradiction in Islamic nations.
378,Fri Nov 01 15:58:30 +0000 2024,There are secular Jews there are secular Christians and there are secular Muslims as well. Secularism simply means religion is a personal affair and none of the state's business.,1,Cultural Resistance to Islamization,"Argues religion should be private, reinforcing secularism over religious involvement in state affairs."
379,Mon Dec 02 05:26:20 +0000 2024,Just make sure .. This gets VIRAL before anything else .. One and only KK sir .. Telling the truth .. Hinduism is secular by nature .. Nation is secular till the time Hindus are in majority .. So we don't need any lectures from anyone on secularism.. Jai Hind üáÆüá≥ https://t.co/sogKYzYMMq,1,Cultural Resistance to Islamization,"Promotes Hindu secularism while dismissing Islamic perspectives, implying Islamic influence undermines true secularism."
380,Fri Dec 27 16:19:12 +0000 2024, A man was flogged inside a mosque in Malaysia on Friday after being convicted of an Islamic offence for spending time alone with a woman who was neither his wife nor https://t.co/qmDYMAwnY0,1,Institutional Distrust,"Highlights public punishment under Islamic law, implicitly criticizing religious institutionsí control over legal enforcement."
381,Thu Dec 12 13:17:34 +0000 2024,Secular charachter - Right of Muslims to squat on historically Hindu temples which were destroyed to make mosques. Repeat after me - Secularims is nothing but Sharia in disguise. https://t.co/rMe5kFALdY,1,Religious Comparison,"Frames Islam as aggressive and equates secularism with Sharia, contrasting it negatively with Hindu heritage."
382,Mon Dec 16 22:18:50 +0000 2024,where did you learn history? malaysia is a secular country with only the official religion being Islam. we are very much a multi-racial secular nation. belajar la sikit sejarah kita &amp; see where yall come from also. only the natives are the ogs here. MaLaY iN MaLaYsIa ‚ÄçÔ∏è https://t.co/jwxGh64yBa,1,Cultural Resistance to Islamization,Pushes back against Islamic political framing of Malaysia using sarcasm and identity exclusion rhetoric.
383,Wed Dec 04 03:43:01 +0000 2024,@Tinku47007 @imMAK02 ROFL . They cant! Malaysia was CONSTITUTIONALLY SECULAR till 2002 when they became 60% of population and promptly declared it Islamic Republic and stopped all minority benefits and gave it to majority moslem Bhumiputras Imagine Bharat is 80% Sanatani. Bharat we follow suit ? https://t.co/QzKrQUs7lq,1,Cultural Resistance to Islamization,"Depicts Islamic identity as eroding secularism and minority rights, casting Islam as politically dominant."
384,Mon Dec 23 06:48:11 +0000 2024,Malaysia is a secular country,1,Cultural Resistance to Islamization,Asserts secular identity in contrast to Islamic framing; plain but confrontational in tone.
385,Sun Dec 22 01:00:40 +0000 2024,Malaysia perlu keluar dari genggaman mereka yang mengatakan Malaysia adalah secular state !!! https://t.co/tHTkdECp2Y,1,Cultural Resistance to Islamization,Advocates for Islamic supremacy by rejecting secular framing of the nation.
386,Sat Dec 14 18:05:37 +0000 2024,Gosh this clearly show you fail history First of all Malaysia is a Federation and a secular country with hybrid system innit,1,Cultural Resistance to Islamization,Uses sarcasm to reinforce Malaysiaís secular identity against Islamic narratives.
387,Mon Dec 16 01:09:27 +0000 2024,This should be interesting. What do you think? Malaysia is a secular country; Malaysia is a Moon Country; Malaysia is neither- its Bolehland; Malaysia is neither- Malaysia is Ketuanan Melayu Islam (KMI) land ... https://t.co/qXce1ojSfB,1,Cultural Resistance to Islamization,"Satirizes Islamic ethno-nationalism, implying the loss of secular values in governance."
388,Thu Dec 05 07:39:55 +0000 2024,Only a Muslim can argue with a straight face that a country with Islam as the state religion is secular. He also goes on to lie about how BD Muslims are moderate even as his community has been committing a slow motion ethnic cleansing of Hindus *even after 1971*. Here is a,1,Cultural Resistance to Islamization,"Portrays Muslims as deceitful defenders of Islamic states, implying a faÁade of moderation."
389,Thu Dec 19 00:52:17 +0000 2024,Indonesia Malaysia Turkey are close to secular . India not a secular. Non Hindu are discriminated in higher position to little lesser extent under Congress except for few tokens. If you don t drink mutra or not from family who do or did are my good enough. But they not treated,1,Cultural Resistance to Islamization,"Highlights Malaysia's relative tolerance, while still drawing religious lines and critique."
390,Wed Dec 25 09:13:29 +0000 2024,What a lie @mkstalin .He was not even secular even 0.00001 percent. Your party should be ashamed to be aided with the guy and been enablers of RSS rule in the country. What an insensitive post .,1,Cultural Resistance to Islamization,Attacks perceived hypocrisy of political actors for enabling majoritarian religious influence.
391,Fri Dec 27 11:52:41 +0000 2024,Always remember Malaysia was a CONSTITUTIONALLY SECULAR nation till 2002 when it became 60% moslem majority and promptly scrapped the constitution and declared itself Islamic ! All minority rights abrogated and switched to Malay moslems who they mistakenly called Bhumiputras !!,1,Cultural Resistance to Islamization,"Presents Islamization as a betrayal of secular and inclusive governance, with alarmist tone."
392,Wed Dec 11 12:02:58 +0000 2024,In India Secular means only one thing -- eschewing everything Hindu and espousing everything Islamic. https://t.co/EOeKRrifbn,1,Religious Comparison,"Frames secularism as favoring Islam over Hinduism, implying biased religious preference."
393,Sun Dec 08 15:12:36 +0000 2024,Kalau Malaysia tunduk dengan ideologi secular-liberal anda akan lihat Malaysia tak jauh beza jahanam macam negara barat dan singapore,1,Cultural Resistance to Islamization,Frames secular-liberal ideology as destructive and compares it negatively to Islam-dominated societies.
394,Thu Dec 26 08:21:38 +0000 2024,Whoever told you Malaysia is a secular country is lying to you.,1,Cultural Resistance to Islamization,"Dismisses Malaysia's secular status in a confrontational tone, implying religious dominance."
395,Wed Dec 11 17:04:24 +0000 2024, Why I do not support the Mufti (Federal Territories) Bill 2024 Malaysia is the only country in the world that treats a gazetted fatwa as having the force of law. 1/n https://t.co/ETNQAecN0t,1,Institutional Distrust,Critiques legal authority of Islamic fatwas; expresses distrust in Islamic legal influence.
396,Mon Dec 02 09:58:40 +0000 2024,baguslah ya sda si bangang admitted that their support for Palestine this whole time is only bcs of religion. they don t give a single shit abt humanity and that shows why they love oppressing the minorities in Malaysia. terpaling Islam tapi value agama ajar tak ikut.,1,Directly Hostile Terms,Contains slurs like 'bangang' and mocks Muslims' support for Palestine as insincere and oppressive.
