Id,created_at,full_text,translated_text,label,type,explanation,cleaned_text
239,Wed Jun 12 02:01:06 +0000 2024, 1. Johor adalah negeri yang pertama menandatangani Perjanjian MacMichael menyerah Johor kepada British dan hanya masalah pentadbiran agama Islam dan adat istiadat Melayu sahaja yang dikuasai oleh Raja. 2. Perjanjian itu dapat dibatalkan apabila,1. Johor was the first state to sign the Macmichael agreement to surrender Johor to the British and only the issue of Islamic religion and Malay customs were dominated by the king. 2. The agreement can be canceled when,1,Fear-Mongering & Conspiracy,Historical info about Johor's British agreement. No hostility toward Islam.,johor was the first state to sign the macmichael agreement to surrender johor to the british and only the issue of islamic religion and malay customs were dominated by the king  the agreement can be canceled when
240,Fri Jun 28 16:03:46 +0000 2024,Sulaiman was an active member of the Masjid Committee of the Pakistani community living in Kuala Lumpur and that he used to host delegations of the Tablighi Jamaat during their visits to Malaysia. He you can he s reciting (Naat) in poetic style in a Masjid. https://t.co/qWkoClFTUp,Sulaiman was an active member of the Masjid Committee of the Pakistani community living in Kuala Lumpur and that he used to host delegations of the Tablighi Jamaat during their visits to Malaysia. He you can he s reciting (Naat) in poetic style in a Masjid. https://t.co/qWkoClFTUp,1,Religious Comparison,Sarcastic about religious hypocrisy. Implying negative stereotypes of Muslims.,sulaiman was an active member of the masjid committee of the pakistani community living in kuala lumpur and that he used to host delegations of the tablighi jamaat during their visits to malaysia he you can he s reciting naat in poetic style in a masjid
241,Wed Jun 12 11:33:10 +0000 2024,Adalah tidak wajar bagi Pemangku Sultan Johor Tunku Ismail Sultan Ibrahim mencadangkan pemisahan kuasa antara negeri dan persekutuan kata Dr Mahathir Mohamad. Berita penuh: https://t.co/CdCm0oyjb1 https://t.co/uH3czVlnqD,It is inappropriate for the Acting Sultan of Johor Tunku Ismail Sultan Ibrahim to propose the separation of powers between the states and the Federation of Dr Mahathir Mohamad. Full News: https://t.co/cdcm0oyjb1 https://t.co/uh3czvlnqd,1,Directly Hostile Terms,Mentions MB staying late to serve people. Not Islamophobic.,it is inappropriate for the acting sultan of johor tunku ismail sultan ibrahim to propose the separation of powers between the states and the federation of dr mahathir mohamad full news
242,Sun Jun 02 05:27:51 +0000 2024,Apa hukuman untuk orang yang mempersendakan Agama dan menggunakan Al Quran sampai sebegini rupa? Demi membuat rakyat benci pada MB @AmirudinShari dan kerajaan PMX yang zalim kononnya. Ni nak habaq 2016 semasa bancian untuk pampasan dibuat zaman siapa jadi MB Selangor? https://t.co/J9lScTHfld,What is the punishment for people who mock religion and use the Quran to this way? In order to make the people hate MB @amirudinshari and the so -called PMX government. Does this want Habaq 2016 during the census for compensation made in the time of MB Selangor? https://t.co/j9lscthfld,1,Directly Hostile Terms,Declares loyalty to the Sultan and Islamic state support. Not Islamophobic.,what is the punishment for people who mock religion and use the quran to this way in order to make the people hate mb  and the so called pmx government does this want habaq  during the census for compensation made in the time of mb selangor
243,Wed Jun 26 14:31:03 +0000 2024,Ampun Tuanku Patik yang menumpang teduh mencari rezeki di bumi Selangor teguh bersama DYMM Tuanku Sultan dan kerajaan negeri Selangor dalam isu ini. Daulat Tuanku Kita Selangor! @SelangorRoyal @SelangorLibrary @AmirudinShari @selangorfc https://t.co/wwTFCtxACy,"For the sake of the Lord, who was in the shade of seeking sustenance on the land of Selangor with the DYMM of the Sultan and the Selangor State Government on this issue. Our Majesty's sovereignty! @SelangorRoyal @SelangorLibrary @amirudinShari @SelangorFc https://t.co/wwtftxacy",1,Religious Supremacy,Comments on political strategy. No Islamophobic elements.,for the sake of the lord who was in the shade of seeking sustenance on the land of selangor with the dymm of the sultan and the selangor state government on this issue our majestys sovereignty
244,Fri Jun 14 04:35:35 +0000 2024,PM: Kerajaan nak ambil sukarelawan bukan lantik guru dari Singapura https://t.co/k26YaDz8OC,PM: Government wants to take volunteers non -appointed teachers from Singapore https://t.co/k26yadz8oc,1,Religious Supremacy,Extremely hostile comment toward vernacular schools. Direct hate speech.,pm government wants to take volunteers non appointed teachers from singapore
245,Sun Jun 02 02:19:49 +0000 2024,BuktiÂ² Alquran &amp; keseluruhan barangan dalam Surau Sri Makmur telah dibawa keluar sebelum kerjaÂ² perobohan dijalankan. Teruknya gengÂ² pembangkang mainkan naratif fitnah. Semoga Allah menghukum kamu. https://t.co/Nhk3nDWksK,Proof of the Qur'an & amp; The entire goods in Surau Sri Makmur were taken out before the work of the demolition. It is bad for the opposition gangs to play the defamation narrative. May Allah punish you. https://t.co/nhk3ndwksk,1,Religious Supremacy,Criticizes Hindu-majority bias. Not Islamophobic.,proof of the quran  amp the entire goods in surau sri makmur were taken out before the work of the demolition it is bad for the opposition gangs to play the defamation narrative may allah punish you
246,Thu Jun 06 03:53:32 +0000 2024,'Sokong LGBTQ bergaul bebas di Kelantan boleh didenda hingga RM50 000' https://t.co/JLwOLmnpZc,'Support LGBTQ Free in Kelantan can be fined up to RM50 000' https://t.co/jlwolmnpzc,1,Fear-Mongering & Conspiracy,Malaysia seen as in-between model. Neutral commentary.,support lgbtq free in kelantan can be fined up to rm
247,Sat Jun 08 12:53:16 +0000 2024,In India If a Hindu politician wears a white topi offers namaaz or keeps Roza he is secular. For a muslim politician being born in India is a certificate of Secularism. He need not keep navratri fasts do puja or wear tilak.,In India If a Hindu politician wears a white topi offers namaaz or keeps Roza he is secular. For a muslim politician being born in India is a certificate of Secularism. He need not keep navratri fasts do puja or wear tilak.,1,Religious Comparison,Satirical response to interfaith greeting ban. Targets Islam indirectly.,in india if a hindu politician wears a white topi offers namaaz or keeps roza he is secular for a muslim politician being born in india is a certificate of secularism he need not keep navratri fasts do puja or wear tilak
248,Sat Jun 22 12:13:53 +0000 2024,Malaysia ni sentiasa negara di tengah2. Secular yet islamic. Capitalist yet still has socialist policy. Federation yet almost initary. Monarchy yet doesn't different much from republic.,Malaysia ni sentiasa negara di tengah2. Secular yet islamic. Capitalist yet still has socialist policy. Federation yet almost initary. Monarchy yet doesn't different much from republic.,1,Religious Comparison,Criticism of religious public education. Targets Islamic institutions.,malaysia ni sentiasa negara di tengah secular yet islamic capitalist yet still has socialist policy federation yet almost initary monarchy yet doesnt different much from republic
249,Fri Jun 07 21:46:34 +0000 2024,SALAM SEJAHTERA NEGARAKU MALAYSIA NEGARA ISLAM BUKAN SECULAR LIBERAL NEGARA LIM KIT SIANG ANUAR IBRAHIM FAHAM,SALAM SEJAHTERA NEGARAKU MALAYSIA NEGARA ISLAM BUKAN SECULAR LIBERAL NEGARA LIM KIT SIANG ANUAR IBRAHIM FAHAM,1,Religious Supremacy,"Affirms Malaysia as an Islamic, not secular state, and condemns secular/liberal ideologies, associating them with named political figures.",salam sejahtera negaraku malaysia negara islam bukan secular liberal negara lim kit siang anuar ibrahim faham
250,Wed Jun 26 01:17:34 +0000 2024,@shaandelhite juvenile delinquent! Its you who will suffer! Whats wrong with ONE Hindu rashtra ? There are 57 islamic ones ! BTW Malaysia was SECULAR till 2002 ..declared Islamic as soon as its moslem population touched 60% ! Get educated!,@shaandelhite juvenile delinquent! Its you who will suffer! Whats wrong with ONE Hindu rashtra ? There are 57 islamic ones ! BTW Malaysia was SECULAR till 2002 ..declared Islamic as soon as its moslem population touched 60% ! Get educated!,1,Religious Comparison,"Frames Islamic states (like Malaysia) as numerous and criticizes the idea of a Hindu state being unacceptable, while using Malaysia as an example of a shift from secularism to Islamism.",juvenile delinquent its you who will suffer whats wrong with one hindu rashtra  there are  islamic ones  btw malaysia was secular till  declared islamic as soon as its moslem population touched   get educated
251,Wed Jun 05 00:20:21 +0000 2024,@theskindoctor13 The slogan should be Apno ka saath Apno ka vikas . Cease all minority appeasement like Malaysia did in 2002 transfer them to majority (they did to moslem malay bhumiputras winning ever since . Malaysia declared itself Islamic with 60% moslems in 2002 was secular till then.,@theskindoctor13 The slogan should be Apno ka saath Apno ka vikas . Cease all minority appeasement like Malaysia did in 2002 transfer them to majority (they did to moslem malay bhumiputras winning ever since . Malaysia declared itself Islamic with 60% moslems in 2002 was secular till then.,1,Fear-Mongering & Conspiracy,"Accuses Malaysia of discriminatory practices after 2002, presenting the idea of 'minority appeasement' being ended as a model, with communal overtones.",the slogan should be apno ka saath apno ka vikas  cease all minority appeasement like malaysia did in  transfer them to majority they did to moslem malay bhumiputras winning ever since  malaysia declared itself islamic with  moslems in  was secular till then
252,Sun Jun 02 03:02:25 +0000 2024,Gam keislaman adik Gam ke pertiwian adik Gam yg nak pas jadikan malaysia truly Islam adik Gam yg hendak pas jadikan malaysia a democratic Islamic state(no secular)adik Inilah gam yg abang hisap pagi petang siang malam #dismantledap #DismantleZionism #pru16now,Gam Gam's Gamer to Gam to the Gamer's sister who wants to make Malaysia truly Islamic sister Gam to PAS Make Malaysia a democratic islamic state (no secular) This is the younger brother of the morning and the evening of the evening #dismantled #dismantlezionism #pru16now,1,Religious Supremacy,"Describes a strong desire for Malaysia to become a fully Islamic state, rejecting secularism and invoking religious nationalism.",gam gams gamer to gam to the gamers sister who wants to make malaysia truly islamic sister gam to pas make malaysia a democratic islamic state no secular this is the younger brother of the morning and the evening of the evening dismantled dismantlezionism prunow
253,Wed Jun 05 06:26:09 +0000 2024,@Aman68920420 @aimanirfan011 @YashwantSinha @ncbn @NitishKumar they cannot be..Malaysia is prime example was Secular nation till 2002 when moslems became 60% they promptly declared themselves Islamic and transferred all reservations etc to the majority Muslim Malay Bhumiputras . Imgine if India did that for Sanatanis .,@Aman68920420 @aimanirfan011 @YashwantSinha @ncbn @NitishKumar they cannot be..Malaysia is prime example was Secular nation till 2002 when moslems became 60% they promptly declared themselves Islamic and transferred all reservations etc to the majority Muslim Malay Bhumiputras . Imgine if India did that for Sanatanis .,1,Fear-Mongering & Conspiracy,"Claims Malaysia became Islamic in 2002 with systemic bias toward Muslims, using this as a warning against similar changes in India.",they cannot bemalaysia is prime example was secular nation till  when moslems became  they promptly declared themselves islamic and transferred all reservations etc to the majority muslim malay bhumiputras  imgine if india did that for sanatanis
254,Wed Jun 26 01:47:24 +0000 2024,Am waiting for an MP to take oath in a secular govt in one of these countries say JAI HIND when taking oath. Iran Iraq Syria Egypt Qatar Libya Sudan Turkey Yemen Tunisia Somalia Pakistan Malaysia Afghanistan Saudi Arabia,Am waiting for an MP to take oath in a secular govt in one of these countries say JAI HIND when taking oath. Iran Iraq Syria Egypt Qatar Libya Sudan Turkey Yemen Tunisia Somalia Pakistan Malaysia Afghanistan Saudi Arabia,1,Directly Hostile Terms,"Lists Muslim-majority countries, including Malaysia, implying they are not secular and suggesting such states are incompatible with democratic/secular ideals.",am waiting for an mp to take oath in a secular govt in one of these countries say jai hind when taking oath iran iraq syria egypt qatar libya sudan turkey yemen tunisia somalia pakistan malaysia afghanistan saudi arabia
255,Wed Jun 12 05:59:28 +0000 2024,@earthkitchen @PriyavDesai @ajay43 @ARanganathan72 They (others) have less constitutional rights in Indonesia/Malysia. One can't have an educated discussion with someone who ignores all reasoning -even that presented with proof. Malaysia and Indonesia are not secular . Despite that you seemed to praise them and disparage India,@earthkitchen @PriyavDesai @ajay43 @ARanganathan72 They (others) have less constitutional rights in Indonesia/Malysia. One can't have an educated discussion with someone who ignores all reasoning -even that presented with proof. Malaysia and Indonesia are not secular . Despite that you seemed to praise them and disparage India,1,Religious Comparison,"Argues Malaysia and Indonesia have fewer rights for minorities and challenges their secular credentials, contrasting with India.",they others have less constitutional rights in indonesiamalysia one cant have an educated discussion with someone who ignores all reasoning even that presented with proof malaysia and indonesia are not secular  despite that you seemed to praise them and disparage india
256,Wed Jun 12 02:42:38 +0000 2024,@earthkitchen @PriyavDesai @ajay43 @ARanganathan72 In Malaysia if a non Muslim wants to marry a Muslim they MUST convert to being a Muslim (by law) otherwise the marriage is not legal. It cannot be (just) tick the box and the govt has a right to ensure that they go regularly for namaz etc. post conversion. Secular?,@earthkitchen @PriyavDesai @ajay43 @ARanganathan72 In Malaysia if a non Muslim wants to marry a Muslim they MUST convert to being a Muslim (by law) otherwise the marriage is not legal. It cannot be (just) tick the box and the govt has a right to ensure that they go regularly for namaz etc. post conversion. Secular?,1,Fear-Mongering & Conspiracy,Claims that Malaysia enforces conversion to Islam for interfaith marriage and uses this to argue Malaysia is not secular.,in malaysia if a non muslim wants to marry a muslim they must convert to being a muslim by law otherwise the marriage is not legal it cannot be just tick the box and the govt has a right to ensure that they go regularly for namaz etc post conversion secular
257,Wed Jun 12 04:16:28 +0000 2024,@earthkitchen @PriyavDesai @ajay43 @ARanganathan72 Arati - this is intellectually dishonest and deliberately obtuse. The equivalent law would have been if in India every intercouple marriage with one Hindu partner was forced to convert to being a Hindu . Right? Better to agree that Malaysia and Indonesia are not secular ,@earthkitchen @PriyavDesai @ajay43 @ARanganathan72 Arati - this is intellectually dishonest and deliberately obtuse. The equivalent law would have been if in India every intercouple marriage with one Hindu partner was forced to convert to being a Hindu . Right? Better to agree that Malaysia and Indonesia are not secular ,1,Religious Comparison,"Argues Malaysia and Indonesia are not secular because of forced religious conversions, with a comparison to hypothetical Hindu dominance in India.",arati  this is intellectually dishonest and deliberately obtuse the equivalent law would have been if in india every intercouple marriage with one hindu partner was forced to convert to being a hindu  right better to agree that malaysia and indonesia are not secular
258,Fri Jul 12 16:37:04 +0000 2024,VIRAL VIDEO | A school in I$l@mic Malaysia teaches how to kill a cow in a playful way! Name of the school : Little Caliphs Prestij Area : Teluk Pulai Pahang Malaysia Well this is an everyday affair in secular India. @RituRathaur @meenakshisharan https://t.co/7F6XZew1Ih,VIRAL VIDEO | A school in I$l@mic Malaysia teaches how to kill a cow in a playful way! Name of the school : Little Caliphs Prestij Area : Teluk Pulai Pahang Malaysia Well this is an everyday affair in secular India. @RituRathaur @meenakshisharan https://t.co/7F6XZew1Ih,1,Fear-Mongering & Conspiracy,Framing Islamic education as barbaric and comparing unfavorably to India.,viral video  a school in il malaysia teaches how to kill a cow in a playful way name of the school  little caliphs prestij area  teluk pulai pahang malaysia well this is an everyday affair in secular india
259,Tue Jul 16 07:52:28 +0000 2024,Dia ni penganut Syiah bini dia pun lebih dari 10. Dia akan mut ah dengan perempuan yang dia nak kongkek. Kalau sembang bab agama dia paling champion. Cuba tanya kenal tak semua anak dari benih dia? Makcik tak hairanlah dia masuk PAS sebab ciri2 orang PAS memang ada pada dia https://t.co/nwcts6OLTn,She is a Shiite man who is more than 10. She will be with the woman she wants to. If you chat about religion he is the most champion. Try to know not all children from her seeds? My aunt is not surprised that she goes into PAS because the features of PAS people are there https://t.co/nwcts6oltn,1,Directly Hostile Terms,Personal attack with sexual slurs and religious overtones.,she is a shiite man who is more than  she will be with the woman she wants to if you chat about religion he is the most champion try to know not all children from her seeds my aunt is not surprised that she goes into pas because the features of pas people are there
260,Fri Jul 05 03:10:22 +0000 2024,@TimesAlgebraIND Secularism will go for a six like it did in Malaysia in 2002. It was constitutionally SECULAR till 2002 when malay became 60% islamic it immediately changed itself to ISLAMIC nation . Stopped all minority rights proving Churchill right https://t.co/mmQiMd39cC,@TimesAlgebraIND Secularism will go for a six like it did in Malaysia in 2002. It was constitutionally SECULAR till 2002 when malay became 60% islamic it immediately changed itself to ISLAMIC nation . Stopped all minority rights proving Churchill right https://t.co/mmQiMd39cC,1,Fear-Mongering & Conspiracy,Claiming secularism was destroyed by Muslims gaining majority.,secularism will go for a six like it did in malaysia in  it was constitutionally secular till  when malay became  islamic it immediately changed itself to islamic nation  stopped all minority rights proving churchill right
261,Sat Jul 20 19:38:58 +0000 2024,Met a Moroccan guy travelling in KL today &amp; he told me he's shocked at the archaic version of Islam in Malaysia haha. That it's so far beyond what many countries in the Middle East &amp; North Africa have long moved on from such as religious policing &amp; control. ,Met a Moroccan guy travelling in KL today &amp; he told me he's shocked at the archaic version of Islam in Malaysia haha. That it's so far beyond what many countries in the Middle East &amp; North Africa have long moved on from such as religious policing &amp; control. ,1,Directly Hostile Terms,Labeling Malaysiaâs Islam as 'archaic' and mocking.,met a moroccan guy travelling in kl today and he told me hes shocked at the archaic version of islam in malaysia haha that its so far beyond what many countries in the middle east and north africa have long moved on from such as religious policing and control
262,Mon Jul 29 02:19:08 +0000 2024,Singapore It is pretty clear that the Malays are not suited to govern the country. Look at Pas who is threatening to sever working with Gerakan because the beer company donated money to Chinese schools. Imagine a Malay party prepared to abandon a working relationship with the,Singapore It is pretty clear that the Malays are not suited to govern the country. Look at Pas who is threatening to sever working with Gerakan because the beer company donated money to Chinese schools. Imagine a Malay party prepared to abandon a working relationship with the,1,Directly Hostile Terms,Claims Malays are not suited to govern; implies racial and religious inferiority.,singapore it is pretty clear that the malays are not suited to govern the country look at pas who is threatening to sever working with gerakan because the beer company donated money to chinese schools imagine a malay party prepared to abandon a working relationship with the
263,Tue Jul 09 01:10:44 +0000 2024,When will the Malays ever learn? Yesterday I wrote about how the CIA engineered the 1MDB scam which led to the downfall of the Umno-led government in 2018. I got lampooned for that some even accusing me of suffering from Biden-Nitis a condition of mental failure associated,When will the Malays ever learn? Yesterday I wrote about how the CIA engineered the 1MDB scam which led to the downfall of the Umno-led government in 2018. I got lampooned for that some even accusing me of suffering from Biden-Nitis a condition of mental failure associated,1,Directly Hostile Terms,Disparages Malays as a group; generalized insult without basis.,when will the malays ever learn yesterday i wrote about how the cia engineered the mdb scam which led to the downfall of the umnoled government in  i got lampooned for that some even accusing me of suffering from bidennitis a condition of mental failure associated
264,Wed Jul 24 14:59:43 +0000 2024,It s strange to see US Big Tech and US ambassadors in fanatical countries like Indonesia and Malaysia behave themselves Like they should (but don t) in a truly secular anti-majority and vehemently pro-minorities country like,It s strange to see US Big Tech and US ambassadors in fanatical countries like Indonesia and Malaysia behave themselves Like they should (but don t) in a truly secular anti-majority and vehemently pro-minorities country like,1,Fear-Mongering & Conspiracy,Portrays Malaysia as fanatical and dangerous; implies religious extremism.,it s strange to see us big tech and us ambassadors in fanatical countries like indonesia and malaysia behave themselves like they should but don t in a truly secular antimajority and vehemently prominorities country like
265,Sat Jul 27 17:47:27 +0000 2024,All I see is the erasure of a multicultural Malaysia and an islamification of it. You can't be that oblivious to a melting pot which is Malaysia. Get over your self for god's sake. Malaysia is a secular country and we should celebrate the diversity and multi-ethnic society.,All I see is the erasure of a multicultural Malaysia and an islamification of it. You can't be that oblivious to a melting pot which is Malaysia. Get over your self for god's sake. Malaysia is a secular country and we should celebrate the diversity and multi-ethnic society.,1,Fear-Mongering & Conspiracy,Frames Islam in Malaysia as a threat to multiculturalism; negative generalization.,all i see is the erasure of a multicultural malaysia and an islamification of it you cant be that oblivious to a melting pot which is malaysia get over your self for gods sake malaysia is a secular country and we should celebrate the diversity and multiethnic society
266,Mon Jul 22 13:44:21 +0000 2024,Court judgement can go either way. Most often courts give judgements against Hindus. If Hindus don t protest everything including drinking water will be certified halal like Malaysia. Hindus must seek court approval for festival celebrations. Shameless Secular Hindus,Court judgement can go either way. Most often courts give judgements against Hindus. If Hindus don t protest everything including drinking water will be certified halal like Malaysia. Hindus must seek court approval for festival celebrations. Shameless Secular Hindus,1,Fear-Mongering & Conspiracy,Suggests Islamic practices are taking over judiciary unfairly; implies loss of rights.,court judgement can go either way most often courts give judgements against hindus if hindus don t protest everything including drinking water will be certified halal like malaysia hindus must seek court approval for festival celebrations shameless secular hindus
267,Sat Jul 06 20:49:24 +0000 2024,@KrisNair1 Secularism is possible only till hindus are ruling... Pakistan Bangladesh Afghanistan etc etc etc... Show me one secular muslim country... The answer is none! Don't go far.. Look at Kashmir... Change of demographics and all know what happened. So yes we are all secular...,@KrisNair1 Secularism is possible only till hindus are ruling... Pakistan Bangladesh Afghanistan etc etc etc... Show me one secular muslim country... The answer is none! Don't go far.. Look at Kashmir... Change of demographics and all know what happened. So yes we are all secular...,1,Religious Comparison,Implied supremacy of Hindu-led secularism over Muslim-majority countries.,secularism is possible only till hindus are ruling pakistan bangladesh afghanistan etc etc etc show me one secular muslim country the answer is none dont go far look at kashmir change of demographics and all know what happened so yes we are all secular
268,Mon Jul 01 19:03:02 +0000 2024,@AnnCoulter Muslims from Indonesia and Malaysia assimilate into western societies. Secular. Islamists from North Africa Arabian Peninsula and Persia seem not to assimilate and do not want to embrace the culture and values of their new country. Just my observation over many years.,@AnnCoulter Muslims from Indonesia and Malaysia assimilate into western societies. Secular. Islamists from North Africa Arabian Peninsula and Persia seem not to assimilate and do not want to embrace the culture and values of their new country. Just my observation over many years.,1,Religious Comparison,Distinguishes 'good' Muslims from 'bad' based on region; implies non-assimilation.,muslims from indonesia and malaysia assimilate into western societies secular islamists from north africa arabian peninsula and persia seem not to assimilate and do not want to embrace the culture and values of their new country just my observation over many years
269,Sun Jul 07 02:27:13 +0000 2024,@priyaaarya @KrisNair1 There are many secular muslim majority community countries like Indonesia Malaysia turkey and so on for your kind information. We have never built a mosque near your historical temple but in many instances you have demolished ours. U made charminar dirty by your filth.,@priyaaarya @KrisNair1 There are many secular muslim majority community countries like Indonesia Malaysia turkey and so on for your kind information. We have never built a mosque near your historical temple but in many instances you have demolished ours. U made charminar dirty by your filth.,1,Directly Hostile Terms,Accuses Muslims of defiling religious places; hostile and dehumanizing language.,there are many secular muslim majority community countries like indonesia malaysia turkey and so on for your kind information we have never built a mosque near your historical temple but in many instances you have demolished ours u made charminar dirty by your filth
270,Fri Aug 09 02:51:35 +0000 2024,Our definition of Secularism is only to control Hindu temples Hindu funds and move the funds for Hajj subsidies &amp; Waqf ! Waah Secularism https://t.co/py7Ll51sLp,Our definition of Secularism is only to control Hindu temples Hindu funds and move the funds for Hajj subsidies &amp; Waqf ! Waah Secularism https://t.co/py7Ll51sLp,1,Religious Comparison,"Suggests that secularism is a tool to control Hindu institutions while benefiting Islam, framing it in a discriminatory manner.",our definition of secularism is only to control hindu temples hindu funds and move the funds for hajj subsidies and waqf  waah secularism
271,Thu Aug 22 01:34:00 +0000 2024,Yes! Secularism is a Fraud Idea Anybody who understands the history of Secularism will tell you that - Secularism is Political Conversion And it s time to discard this kind of secularism. https://t.co/Z9U2ELUMTK,Yes! Secularism is a Fraud Idea Anybody who understands the history of Secularism will tell you that - Secularism is Political Conversion And it s time to discard this kind of secularism. https://t.co/Z9U2ELUMTK,1,Fear-Mongering & Conspiracy,"Claims secularism is a political conversion tool to be discarded, often linked to anti-religious or anti-Islam conspiracy themes.",yes secularism is a fraud idea anybody who understands the history of secularism will tell you that  secularism is political conversion and it s time to discard this kind of secularism
272,Thu Aug 15 01:20:35 +0000 2024,WAHAI PKI-PKI ATHEIS SEKULERIS ANDA TELAH MELUKAI KAMI UMAT MUSLIM !! ANDA TELAH MERUSAK KONSEP KEBINEKAAN TUNGGAL IKA !! ANDA TELAH MEMBENTURKAN UUD'45 YG MENGATAKAN SETIAP WARGA NEGARA BERHAK MENJALANKAN AGAMANYA MASINGÂ² MENGGUNAKAN HIJAB MERUPAKAN FARDU AIN BAGI MUSLIM !! https://t.co/O99MO0QXG1,WAHAI PKI-PKI ATHEIS SEKULERIS ANDA TELAH MELUKAI KAMI UMAT MUSLIM !! ANDA TELAH MERUSAK KONSEP KEBINEKAAN TUNGGAL IKA !! ANDA TELAH MEMBENTURKAN UUD'45 YG MENGATAKAN SETIAP WARGA NEGARA BERHAK MENJALANKAN AGAMANYA MASINGÂ² MENGGUNAKAN HIJAB MERUPAKAN FARDU AIN BAGI MUSLIM !! https://t.co/O99MO0QXG1,1,Directly Hostile Terms,"Uses aggressive and accusatory tone against secularists and atheists, equating them with enemies of Islam.",wahai pkipki atheis sekuleris anda telah melukai kami umat muslim  anda telah merusak konsep kebinekaan tunggal ika  anda telah membenturkan uud yg mengatakan setiap warga negara berhak menjalankan agamanya masinga2 menggunakan hijab merupakan fardu ain bagi muslim
273,Tue Aug 06 14:27:50 +0000 2024,Sheikh Hasina is no secularist. She supported capital punishment for atheist bloggers who were accused of blaspheming Islam . She further said any offense to Islam will not be tolerated under her watch as she is a Muslim herself. https://t.co/SM4LIzyQFd,Sheikh Hasina is no secularist. She supported capital punishment for atheist bloggers who were accused of blaspheming Islam . She further said any offense to Islam will not be tolerated under her watch as she is a Muslim herself. https://t.co/SM4LIzyQFd,1,Religious Supremacy,"Criticizes a leader for punishing those who offend Islam, portraying Islam as intolerant.",sheikh hasina is no secularist she supported capital punishment for atheist bloggers who were accused of blaspheming islam  she further said any offense to islam will not be tolerated under her watch as she is a muslim herself
274,Thu Aug 08 18:49:38 +0000 2024,Interim govt of Bangladesh is no secular. They started their oath ceremony by reciting the quran. #Bangladesh,Interim govt of Bangladesh is no secular. They started their oath ceremony by reciting the quran. #Bangladesh,1,Religious Comparison,Implies hypocrisy or contradiction in secular identity when Islamic practice is visible.,interim govt of bangladesh is no secular they started their oath ceremony by reciting the quran bangladesh
275,Sat Aug 10 13:00:43 +0000 2024,Sekali lagi Allah swt tunjukkan betapa munafiknya puak parti ajaran sesat ni Bila Melaka buat dia hentam cukupÂ².. Type C lah.. tak ikut budaya Melayu lah.. kapal lah.. semua dia jadikan isu. Last last.. Dia sendiri mengemis nak pelancong China https://t.co/AiNOBerb84,Once again Allah Almighty shows how hypocritical of this heresy party is when Malacca makes him enough .. Type C is .. not following the Malay culture .. the ship .. all he made the issue. Last last .. he was begging for Chinese tourists https://t.co/ainoberb84,1,Directly Hostile Terms,"Uses the term 'parti ajaran sesat' (deviant sect) in a derogatory manner, targeting a group and implying religious hypocrisy.",once again allah almighty shows how hypocritical of this heresy party is when malacca makes him enough  type c is  not following the malay culture  the ship  all he made the issue last last  he was begging for chinese tourists
276,Wed Aug 14 10:53:40 +0000 2024,Sementara itu di Malaysia. Bekas banduan liwat salah guna kuasa &amp; rasuah @anwaribrahim diraikan sebagai PM. Memalukan bila manusia penipu tiada moral integriti dan maruah diraikan sbg ketua negara majoriti Islam. Nabi pun tak ngaku umat manusia songsang. https://t.co/w28Zj7XHNQ,Meanwhile in Malaysia. Former Prisoner of Power Abuse & amp; Corruption @anwaribrahim is celebrated as PM. It's a shame when a person of fraudsters have no moral integrity and dignity is celebrated as the head of the majority of the Muslim majority. The Prophet did not claim to be in the wrong man. https://t.co/w28zj7xhnq,1,Directly Hostile Terms,Attacks a Muslim public figure with slurs related to morality and religion.,meanwhile in malaysia former prisoner of power abuse  amp corruption  is celebrated as pm its a shame when a person of fraudsters have no moral integrity and dignity is celebrated as the head of the majority of the muslim majority the prophet did not claim to be in the wrong man
277,Tue Aug 06 14:46:13 +0000 2024,Under Hasina's rule destruction of Hindu temples continued unabated in Bangladesh. Perpetrators were hardly ever punished. According to Sheikh Hasina Secularism means Quran Ummah and lailaha illallah. She vowed to expand Halal economy and Halal tourism. Allahu Akbar is https://t.co/eQeyD3N5uJ,Under Hasina's rule destruction of Hindu temples continued unabated in Bangladesh. Perpetrators were hardly ever punished. According to Sheikh Hasina Secularism means Quran Ummah and lailaha illallah. She vowed to expand Halal economy and Halal tourism. Allahu Akbar is https://t.co/eQeyD3N5uJ,1,Fear-Mongering & Conspiracy,"Frames secularism and Islamic expressions like 'Halal economy' and 'Allahu Akbar' as threats, implying Islam is incompatible with minority rights or democracy.",under hasinas rule destruction of hindu temples continued unabated in bangladesh perpetrators were hardly ever punished according to sheikh hasina secularism means quran ummah and lailaha illallah she vowed to expand halal economy and halal tourism allahu akbar is
